Darija_Arabe,Anglais
سمح لييا خليتك كاتسنا. انا غادي نطلع معاك ل شومبر ديالك.,Sorry for keeping you waiting. I will go up with you to your room.
راه دولار واحد هداك. خاص يكون عندك الصرف هوا هداك.,Its just one dollar. You need to have the exact change.
الشومبر ديالك كاينا ف الدوزييم ايطاج. نمرا تلتميا و سبعا و خمسين.,"Your room is on the second floor, number 357."
ماكاينش لما سخون.,There is no hot water.
بغيت شي ديكسونير ب النغليزييا و اليابانييا.,I want an English and Japanese dictionary.
السلام، راني مريزيرفي.,"Hello, I’m reserved."
وريني الشوانط ديالك.,Show me your shoes.
جيبو دغيا، عفاك. راني زربان.,"Bring it quickly, please. Im in a hurry."
فين جا؟ مكاتعرف تاشي صالون غي ف هاد الجوايه.,Where is it? I dont know any salon in this area.
قييد عندك هادشي كولو حنا نوصل ف لخر، عفاك.,"Write all of this down, well get there in the end, please."
بدل لييا هادشي بلفلوس، عفاك.,"Exchange this for me with money, please."
عندي كارطوشا د لغارو.,I have a pack of cigarettes.
واش خاصني نضيكلاري هادشي؟,Do I need to declare this?
كيفاش نقدر الناخدو؟,How can we take it?
لكتوبا ديال الطياب كاينين تاهوما ف الدوزيام ايطاج؟,Are the cooking books also on the second floor?
كاين ديما لباطو مابين كوب و المرسا ديال شيكوكو و كيوشو.,There is always a boat between Kobe and the port of Shikoku and Kyushu.
صرف لييا، عفاك.,"Exchange it for me, please."
واش مازال كاينين بلايص ل الرحلة ديال نهار الخميس؟,Are there still spots available for the trip on Thursday?
واخا تشرح لينا هادشي ب الضيطاي، عفاك؟,"Can you explain this to us in detail, please?"
ملي ينشف، حيدو من وجهك.,"When it dries, remove it from your face."
شحال د لوقت باش تقطع لييا شعري؟,How long will it take to cut my hair?
بغيت شي كارني ديال لادريسات، عفاك.,"I want an address notebook, please."
بغيت نرجع حوايجي لي عزاز علييا.,I want to get back my favorite belongings.
سمحلي، وخا ندوز؟,"Excuse me, can I pass?"
وا بغيت نغلس دابا.,I want to rest now.
علاين ساعة مورا ماتقلع. كانبداو نسربيو لماكلا ملي كانشدو السرعة مقادة.,"Two hours after takeoff, we start serving food once we reach cruising speed."
مريزيرفي ف بروميير كلاس نيميرو مياو تلطاش من لوس النجيليس ل نيويورك نهار خمساوعشرين أكتوبر.,"Reserved in first class, seat number 113, from Los Angeles to New York on October 25th."
كايبقا صالح ربعطاش ليوم. تقدر تبقا تخدم بيه حتال نهار تلاتة و عشرين.,It remains valid for fourteen days. You can keep using it until the twentythird.
حشوما تاكل و تسمع.,Its impolite to eat and listen.
طيحت الصوبا.,I spilled the soup.
جين نقرا ف واحد مدراسا ديال اللوغات.,I study at a language school.
لا، سمح ليا.,"No, excuse me."
شحال يحسب عليا الطاكسي من هنا ل متحف ديال الفنون؟,How much will the taxi charge me from here to the art museum?
انا راني فايتك شوييا، ماشي مشكيل؟,"I’m a bit ahead of you, is that okay?"
عندك شي غريسات و شي ديسير؟,Do you have any pastries or dessert?
اه، تقدر تشوفو مزيان ليوما حيت الجو زوين .,"Oh, you can see it clearly today because the weather is nice."
وريني عفاك كيفاش نعمر هاد الورقة د لومباركومو؟,"Show me, please, how to fill out this reimbursement form?"
وريني عفاك كيفاش نعمر هاد الورقة د الوصول؟,"Show me, please, how to fill out this receipt form."
كاين شي صالون هنايا؟,Is there a salon here?
اينا طوبيس ناخد يديني لوطيد سكايواي؟,Which bus should I take to get to the Skyway terminal?
علا هاد لحساب، وخا توريني كارط غيشي لي معروفا عندكم، و البيرمي؟,"Based on that, even if you show me a wellknown card of yours, and the driving license?"
لا، معنديش بزاف د لفلوس.,"No, I dont have much money."
كانضن طوموبيلتي تكون دايرا ديك خمسالاف دولار.,I think my car is worth around five thousand dollars.
اه، غادي ناخود الشومباني مع المقبلات.,"Oh, I’ll have the champagne with the appetizers."
مكايناش شي تيليبوتيك ف هاد الجوايه؟,Is there no teleboutique in this area?
خود هادا مورا لماكلا تلاتة لمرات ف النهار.,Take this after meals three times a day.
"""واخا تقلب لييا علا """"آن. . لا ميزو أوو پينيو ڢيغ"""" ف لمجموعة ديال ليڢغ دو پوش.""","""Can you find Anne... La Mise au Point du Verre in the collection of glassware?"""
"""واخا تقلب لييا على """"آن صاحبة الجملونات الخضرا"""" ف كتب الجيب؟""","""Can you look for The Lady of the Green Gables for me in pocket books?"""
واخا، غي تهانا. عندنا واحد لفرملييا كاتفهم ل اليابانييا.,"Alright, dont worry. We have a nurse who understands Japanese."
واش هاد لماكلا مكاتغلضش؟,Does this food not make you gain weight?
هادشي معجنيش.,I dont like this.
السي ايبير عاوني بزاف.,Mr. Iber helped me a lot.
حادا راه حرير الهايون، جا تقضر تغسلو.,"Be careful, its silk fabric, you can wash it gently."
ضربني البرد.,I feel cold.
شرح ليا ب شي كلام ساهل، عفاك.,"Explain it to me in simple words, please."
اينا طوبس كايدي لا غار خاصني نشد؟,Which bus goes to the station should I take?
بغيت نبدل لكوموند ديالي، يلا كان ممكن.,"I want to change my order, if possible."
خليني نشوف ليك ف لمحال ديالنا لاخور ايلا كان مازال باقي عندهوم ف سطوك.,Let me check for you in our other store if they still have it in stock.
واييه. ولاكن خاصك الضور عل ليسر مورا الفو روج التالت و تكمل ف ديك الطريق حتال توصل ل طريق ستا وستين.,Yes. But you need to turn left after the third traffic light and continue on that road until you reach Route 66.
فين نقدر نلقا شي ليموزين؟,Where can I find a limousine?
بغيت نديكلاري عند لبوليس.,I want to file a report with the police.
ستييام من تلاتة و عشرين يوليوز، ممكن؟,"Appointments from the 23rd of July, possible?"
وقتاش كاطلع لمارييا د لبحر؟,When does the tide rise?
صيكاني تقال، وخا تعاوني؟,"Youre being stubborn, can you help me?"
وخا نخليها ف سيياتل؟,Should I leave it in Seattle?
بغيت شي كاس د لما نشرب بيه دوا، عفاك.,"I need a glass of water to take my medicine, please."
وريني منو شي واحد اخر، عفاك.,"Show me another one, please."
وخا تعطيني شي مخدا؟,Can you give me a pillow?
بغيت نمشي نصيد. كاين شي بلاصا مزيانا ف هاد الجوايه؟,I want to go fishing. Is there a good spot in this area?
باش ندير بحت على تاريخ ميريكان ف جامعة هارفرد.,To do research on American history at Harvard University.
من الاحسن مانشريش شي حاجا تقيلا.,Its better if I dont buy something heavy.
واخا تجيب لييا معاك بزار، عفاك؟,"Alright, can you bring me some cumin, please?"
لجو زوين، ياك؟,"The weather is nice, right?"
فين نقدر نلقا لبييي لحفلا ديال برودواي؟,Where can I find tickets for a Broadway show?
فين نقدر لبالز ديالي؟,Where can I find my luggage?
بغيت نشري شي شال لواليدا. عندها كتر من ستين عام.,I want to buy a scarf for my mother. She is over sixty years old.
منكرهكش توصلني لا بلاج.,I dont mind you taking me to the beach.
غادي نقص ليك عشرا فلميا من تامانو.,I will reduce ten percent from the price for you.
خدام هنايا؟,Are you working here?
بغيت نخلص هاد لموكالاما لي درت.,I want to pay for this call I made.
كيفاش نقدر نعلم الشيفور ملي نبغي نهبط من الطوبيس؟,How can I let the driver know when I want to get off the bus?
ولاهيلا غي سمح لييا. غي غلط وقع. هادي طانكيوشا برس.,"Really, just forgive me. It was just a mistake. This is ""thank you very much."""
